village_id,ts,new_owner,old_owner,extra
12488,1788595916,1577540871,0,
5833,1788596694,1577532848,1577534296,
6123,1788596910,1577491327,1577534785,
15693,1788597300,1577540185,0,
6726,1788597419,9967293,1577535908,
24688,1788597465,9839137,0,
12600,1788597497,1577279310,0,
25293,1788597838,1577374960,0,
25293,1788597838,1577374960,1577374960,
3522,1788599713,8860225,0,
10519,1788600311,1577261773,0,
12194,1788600355,2815069,1577543479,
1804,1788600428,1577544203,0,
13529,1788600586,1576401633,0,
6118,1788601154,119382,1577534783,
12912,1788601954,1576979580,1577458238,
6005,1788602007,1576425365,1577534558,
2673,1788602281,813539,10036407,
9123,1788603117,1577543420,1577129795,
1506,1788603403,1576298928,1577528517,
13731,1788604443,2636022,0,
21241,1788604854,9839137,0,
13222,1788605816,9768644,0,
1421,1788605926,1577499142,3014704,
9445,1788606164,8816541,0,
21888,1788606342,1577533943,0,
16158,1788606527,1577544047,10036900,
11423,1788606542,1577513584,0,
4237,1788606751,1577543745,0,
20624,1788607788,9979507,1577457619,
11217,1788608043,1577362464,0,
11808,1788608607,1577507188,1577533790,
22885,1788608664,1577393299,0,
11800,1788609187,1577388732,0,
10419,1788609573,1576937849,1231846,
643,1788610525,1577498189,0,
6501,1788610631,8516154,1577535422,
4830,1788610638,1577540185,1577507138,
14729,1788611172,1577178575,0,
982,1788611456,1577382054,0,
12701,1788613530,1577383380,0,
11198,1788613883,9642632,1577010115,
14153,1788614388,1577528385,0,
7158,1788614470,1577178702,1577540283,
11159,1788614649,1577388261,1577444600,
4696,1788615418,1577139117,0,
8386,1788615567,760440,0,
17750,1788615784,725995,0,
8777,1788616080,2351874,9218780,
6657,1788616364,1577428254,0,
17065,1788616415,1577279914,1577544154,
5024,1788616694,1577295752,0,
19645,1788616834,1577444303,0,
20302,1788616881,1577444303,0,
20174,1788617036,1577136351,0,
21752,1788617077,1577444303,0,
21431,1788617242,1577431073,0,
2890,1788617657,1577543305,0,
2986,1788617999,106967,1576708182,
13756,1788618461,8013865,1577384906,
25293,1788618590,1577374960,1577374960,
832,1788619130,1576533606,0,
10211,1788619162,8816522,0,
1175,1788619213,8447777,1576316744,
25179,1788620624,1576976099,0,
20399,1788620793,1577423646,1577386979,
12937,1788620999,1577452508,1577060580,
2156,1788622903,8447777,0,
17090,1788624033,1577496615,1577266736,
7792,1788624450,1577538578,1577538972,
14148,1788625223,1577073064,0,
1699,1788625427,8308415,0,
9934,1788625525,9277021,1577541634,
12375,1788625733,1577070679,1576861051,
13464,1788625962,1577465504,0,
16301,1788626084,1577374650,0,
23202,1788626515,1577374960,0,
22029,1788627723,1577544583,0,
16052,1788627983,366473,0,
14920,1788628272,1577540185,0,
6630,1788628378,1577414870,1577535856,
7246,1788628613,1577523449,0,
18767,1788629129,1576449100,0,
8105,1788629186,1576656377,1577486228,
25447,1788629319,1576096956,0,
10774,1788629340,1577484886,0,
3338,1788629749,1577181969,1577195589,
2853,1788630142,8554566,0,
11684,1788631573,9719422,1577526585,
4192,1788632323,1577539033,0,
18199,1788632641,1577040263,1577544225,
6815,1788633234,1375412,0,
17718,1788633970,1577417226,0,
6105,1788634957,1576908434,1577534779,
14359,1788635211,1577465504,0,
4331,1788636720,2652136,1577439343,
13413,1788636953,1577514864,0,
15496,1788637216,1577540185,0,
21281,1788637734,1577393299,1577491574,
7224,1788638186,8516154,1577540357,
11097,1788638378,1577284675,0,
11404,1788638404,704848,1577216618,
5612,1788638988,1577282858,1577532305,
6696,1788639420,10187316,1577535893,
20921,1788639639,1577136351,0,
17168,1788639950,1577526179,1577457462,
1430,1788640012,1576574201,3365545,
23565,1788640312,1577292595,0,
3829,1788640321,1577503937,1577383045,
14761,1788642519,1577536190,1577543942,
7096,1788642760,1577354984,0,
3349,1788643018,1130518,0,
5578,1788643037,8554566,0,
13254,1788643887,1577515376,0,
11162,1788644119,1577512641,0,
1142,1788644564,1577212131,0,
5626,1788645265,1577543435,1577532387,
22064,1788645547,1577136351,0,
4662,1788645613,1577542040,1577497031,
12187,1788647024,1577449949,1577543475,
3807,1788647071,1577543449,0,
6922,1788647747,1329319,0,
15274,1788647870,1576959764,1577088950,
20088,1788648789,9839137,0,
17252,1788650019,1577417226,0,
1839,1788651769,1577499142,0,
12790,1788651976,1577388732,0,
3819,1788652743,1577540888,1577381008,
3036,1788653081,1577034674,0,
10367,1788653349,1577530583,0,
12321,1788653983,1576096938,0,
20126,1788654275,1577423646,0,
14858,1788655483,1577514864,0,
1131,1788655770,9471881,8848939,
11388,1788658749,1577430890,0,
15497,1788659143,1577543989,0,
9295,1788659156,1577543420,0,
6565,1788662117,1577300851,1577535821,
3602,1788662384,8832891,0,
14251,1788663006,1577288708,0,
3533,1788663778,1577522507,0,
4220,1788665569,1577522507,0,
23075,1788668978,1577339706,0,
14824,1788669053,1577522047,8724296,
8179,1788669188,8635569,0,
13303,1788669460,1577319091,0,
20957,1788670554,1577489962,0,
21360,1788670573,1577423646,0,
6604,1788671585,1577520959,1577535845,
12808,1788671639,1577433791,9719422,
