id,name,ally,villages,points,att,def,sup,all
1577510582,Lasereule,0,1,1671,0,26,0,26
1577510683,sammy the king,77,2,4585,0,67,0,67
1577510735,GladiatorXVII,123,4,8664,1765,0,0,1765
1577510755,StSt,0,1,812,0,20,0,20
1577510777,thueringer,0,1,336,0,138,0,138
1577510853,Shakdaze,0,1,647,0,0,0,0
1577510854,Kanaith,0,1,644,0,0,0,0
1577510859,Rorovar,0,1,427,0,940,0,940
1577510860,Qorarak,0,1,455,0,0,0,0
1577510861,Sertav,0,0,0,0,2168,0,2168
1577510862,Haviglade,0,1,436,0,2515,0,2515
1577510865,Shepamed,0,0,0,0,3709,0,3709
1577510866,Sorivar,0,1,667,0,0,0,0
1577510867,Rayrian,0,1,425,0,0,0,0
1577510868,Zarngel,0,0,0,0,3050,0,3050
1577510869,Slinlyn,0,1,677,0,65,0,65
1577510871,Trovabec,0,1,457,0,2363,0,2363
1577510874,Reynlar,0,1,603,0,65,0,65
1577510875,Troalak,0,1,699,0,2042,0,2042
1577510876,Vixaoril,0,1,592,0,0,0,0
1577510877,Lucarys,0,1,433,0,0,0,0
1577510891,Carreca,0,0,0,0,2252,0,2252
1577510898,MC Hammer,318,1,1613,0,0,9,9
1577510916,Lucsed,0,1,795,0,0,0,0
1577510917,Hephamek,0,1,762,0,0,0,0
1577510919,Uthitar,0,1,646,0,0,0,0
1577510924,Krellakus,0,1,619,0,0,0,0
1577510925,Vaughatem,0,1,579,0,0,0,0
1577510928,Zheradril,0,0,0,0,1852,0,1852
1577510940,Corarom,0,1,752,0,0,0,0
1577510941,Quaster,0,1,405,0,657,0,657
1577510948,Ruthatrin,0,1,453,0,0,0,0
1577510951,Octamakh,0,1,447,0,0,0,0
1577510952,Vorawar,0,1,638,0,510,0,510
1577510953,Saloht,0,1,451,0,0,0,0
1577510956,Holtrin,0,1,650,0,0,0,0
1577510961,Pangairos,0,1,661,0,2940,0,2940
1577510962,Vazakas,0,1,493,0,0,0,0
1577510993,Grinaron,0,1,700,0,0,0,0
1577510998,Thraxagun,0,1,446,0,0,0,0
1577510999,Lashavius,0,1,668,0,0,0,0
1577511000,Vikpir,0,1,655,0,0,0,0
1577511003,Gerpyr,0,1,469,0,612,0,612
1577511006,Vranhas,0,0,0,0,2172,0,2172
1577511013,Ichorior,0,1,438,0,0,0,0
1577511014,Jirnod,0,1,715,0,0,0,0
1577511016,Sadraneon,0,1,728,0,0,0,0
1577511018,Memilor,0,1,702,0,0,0,0
1577511019,Zarnyas,0,1,451,0,0,0,0
1577511020,jimmiii44,0,1,77,0,0,0,0
1577511021,Hovafen,0,1,430,0,0,0,0
1577511023,Illaxar,0,1,501,0,0,0,0
1577511024,Braarah,0,1,775,0,0,0,0
1577511025,c3line,91,1,4405,0,0,0,0
1577511026,Rasik,0,1,26,0,2826,0,2826
1577511028,Phosaryl,0,1,754,0,0,0,0
1577511029,Judavel,0,1,442,0,0,0,0
1577511030,Valaten,0,1,442,0,2396,0,2396
1577511033,Infaleth,0,0,0,0,1340,0,1340
1577511036,Thexalin,0,1,235,0,2083,0,2083
1577511037,Vaelasur,0,1,647,0,0,0,0
1577511040,Gaibu,99,1,1258,0,16,0,16
1577511041,Shulatian,0,1,483,0,0,0,0
1577511042,Brynasven,0,1,476,0,0,0,0
1577511048,Dalajan,0,1,437,0,0,0,0
1577511052,Destiphus,0,1,413,0,0,0,0
1577511070,Tokatik,0,1,698,0,0,0,0
1577511072,Haelafen,0,1,637,0,0,0,0
1577511077,Baelgur,0,1,541,0,0,0,0
1577511084,Lord Lichtbringer,64,1,717,288,1357,0,1645
1577511089,Kruulpian,0,1,452,0,0,0,0
1577511095,Rogaeran,0,1,610,0,1714,0,1714
1577511101,Kerflow,0,1,661,0,0,0,0
1577511107,Verthis,0,1,439,0,0,0,0
1577511108,Sylarsav,0,1,419,0,0,0,0
1577511109,Yageir,0,1,433,0,922,0,922
1577511135,Wai-Ki-Ki,0,0,0,0,1902,0,1902
1577511138,Vaskarok,0,1,614,0,0,0,0
1577511144,Tirasath,0,1,483,0,0,0,0
1577511145,Tholator,0,1,722,0,0,0,0
1577511148,Metaroe,0,1,428,0,1902,0,1902
1577511152,Yeraroth,0,1,497,0,0,0,0
1577511155,Renalos,0,1,476,0,0,0,0
1577511159,Gryphavran,0,1,787,0,0,0,0
1577511170,Jizzabelle,0,1,705,0,0,0,0
1577511181,Türkischer Sucukdealer,0,1,26,0,0,0,0
1577511190,IngLuHe,405,1,2774,0,0,0,0
1577511341,Eric76er,0,1,775,0,21,0,21
1577511411,Sir Enzio II,0,1,1257,0,0,0,0
1577511435,KnightStämme,0,1,265,0,38,0,38
1577511484,Schwarzer Ritter,235,1,1837,1058,1206,0,2264
