id,name,tag,members,villages,points,all_points,rank
318,Dunkle Schatten,DuS,23,69,183000,183000,37
321,PP Farmer K65,PP65,3,3,1718,1718,325
322,dasBösevomRand,dBvR,25,149,494076,494076,16
326,PP-For Free,PPFF,1,2,4373,4373,253
327,Wir schlafen nie!,Schlaf,5,8,22746,22746,158
328,Hondo,Hondo,17,20,35870,35870,130
330,Horscht79 !,18.06,1,1,375,375,429
334,Schockierender Stamm,Schock,3,3,3164,3164,276
340,Angryfarmers-SW4,AF-SW4,21,25,40464,40464,124
342,Angry-Farmers SW5,AF-SW5,25,33,56889,56889,88
343,Angry Farmers - SO3,AF-SO3,23,24,49364,49364,100
345,Die alten Säcke,DaS,3,6,7643,7643,220
346,In the Army now,Army,25,46,91683,91683,67
348,Angry-Farmers NO2,Af-NO2,24,20,23524,23524,154
349,TurboFarm,TF,1,1,477,477,415
350,Angry Farmers-NO3,AF-NO3,22,23,40914,40914,123
351,Elite,Elite-,23,54,127034,127034,55
355,Orga muss,Orga,3,33,156967,156967,48
356,I will be back,IbB,1,1,728,728,387
362,Test,123,1,0,26,26,460
363,Preußen-Sachsen,*P-S*,1,1,2572,2572,287
365,Blutsbund,-BB-,25,29,54596,54596,92
366,McLouds,McLoud,12,19,42683,42683,118
369,Lecker Bierchen 2,LB2,16,42,118222,118222,58
371,Ghettos mcs,Mcs,1,1,1263,1263,352
373,New York Stock Exchange,NYSE,18,46,99566,99566,65
376,In Ruhe Spielen,IRS,2,7,13021,13021,186
377,Angry Farmer SO,AF-SO,3,3,3652,3652,268
379,OneWomen,*OW*,1,1,981,981,370
380,PP Farm,FreePP,1,1,1293,1293,348
382,On~Fire,~Fire~,2,2,1398,1398,342
383,The Luckys,TLS,1,0,182,182,451
384,Subathon 2026,SUBS,19,15,19579,19579,170
386,Teamplay,TP,25,85,173004,173004,40
387,BASHER,BASHER,4,3,680,680,393
389,Kraft meiner Wassersuppe,KmWs,1,1,268,268,440
391,Im Winkel,Dattel,1,1,1014,1014,365
392,-SinCity,-City,3,7,22177,22177,159
393,MOM I LIKE FARMING,MILF,13,11,21256,21256,162
394,Black numbers,BN,1,1,270,270,439
398,Orden der Tempelritter,OdT,2,2,2558,2558,288
399,Imperium Romanum,SPQR,1,2,5160,5160,243
400,Premium Farm,Premfa,1,1,1025,1025,362
402,1234,1234,1,0,677,677,394
404,Rangers,-R-,1,1,26,26,461
405,Old Person Attack,O.P.A,23,71,170412,170412,43
406,Hummelbude,-HB-,1,2,8858,8858,209
408,Obstmafia,Obst,6,31,127978,127978,54
410,Ois easy,OE,1,1,2852,2852,283
412,Bad Habbit Development,BHD,7,10,16078,16078,179
413,Die unendliche Geschichte,DUG,19,53,119929,119929,57
415,Alte Herren nord,AHn,4,5,9692,9692,200
418,Böhse-Onkelz,**bo**,1,0,521,521,408
419,Der Stamm,STA,8,8,17326,17326,176
420,Die Hunnen,DHK,1,1,506,506,411
423,FanClub,-FC-,7,12,37334,37334,127
424,Gummibärenbande,GB,24,299,1109975,1109975,5
431,*pps*,*pps*,3,3,2054,2054,315
434,Die Rote Allianz,DRA,10,10,13324,13324,183
435,DieSaarländer,DSR,1,1,333,333,434
436,Non Player Charakter 3,NPC-3,14,27,73419,73419,76
437,Angry Farmers SO5,AF-SO5,2,1,786,786,255
440,ERROR,ERROR,4,2,3369,3369,274
441,Turtok,Turtok,2,4,14498,14498,182
442,Name ist echt egal,Nice?!,25,358,1496361,1496361,4
443,Morgendlicher Dorfverlust,M-D,24,374,1886330,1886330,2
446,Last Bastion,LaBa,2,1,1420,1420,338
448,FlaagenFarmerrr,F_F,3,3,2116,2116,312
451,~Phönix~,~Phx~,19,23,53371,53371,93
452,NASE,NASE,1,1,2494,2494,293
453,die chicken griller,dcg,1,1,295,295,438
454,Nichtangriffspakt,~NAP~,1,0,700,700,390
